Date	Time0 Sensor0	Time1 Sensor1	Time2 Sensor2	Time3 Sensor3	Time4 Sensor4
11/30/2011	18:07:45 2556.713673	18:07:48 2557.676094	18:07:50 2304.457212	18:07:53 2304.919264	18:07:56 3274.458173
11/30/2011	18:08:00 2557.676094	18:08:03 2559.601380	18:08:05 2306.305630	18:08:08 2306.767821	18:08:11 3284.144809
11/30/2011	18:08:15 2559.601380	18:08:18 2561.045732	18:08:20 2308.154603	18:08:23 2308.616933	18:08:26 3283.606292
11/30/2011	18:08:30 2561.045732	18:08:33 2561.527256	18:08:35 2308.154603	18:08:38 2307.692308	18:08:41 3240.130914
11/30/2011	18:08:45 2559.601380	18:08:48 2558.157360	18:08:50 2304.457212	18:08:53 2304.457212	18:08:56 3249.231765
11/30/2011	18:09:00 2556.713673	18:09:03 2555.270317	18:09:05 2301.685625	18:09:08 2302.147470	18:09:11 3257.808707
11/30/2011	18:09:15 2552.865461	18:09:18 2552.865461	18:09:20 2299.376924	18:09:23 2299.376924	18:09:26 3231.042558
11/30/2011	18:09:30 2552.384601	18:09:33 2550.942240	18:09:35 2297.992119	18:09:38 2296.607625	18:09:41 3235.317877
11/30/2011	18:09:45 2550.461527	18:09:48 2549.980850	18:09:50 2295.223444	18:09:53 2296.146197	18:09:56 3255.127220
11/30/2011	18:10:00 2549.980850	18:10:03 2549.500211	18:10:05 2296.607625	18:10:08 2296.607625	18:10:11 3268.545513
11/30/2011	18:10:15 2550.461527	18:10:18 2550.942240	18:10:20 2297.992119	18:10:23 2299.376924	18:10:26 3294.384940
11/30/2011	18:10:30 2552.384601	18:10:33 2553.346359	18:10:35 2300.300300	18:10:38 2300.762041	18:10:41 3290.071382
11/30/2011	18:10:45 2555.751399	18:10:48 2555.751399	18:10:50 2302.609349	18:10:53 2302.609349	18:10:56 3241.736038
11/30/2011	18:11:00 2555.751399	18:11:03 2556.232517	18:11:05 2303.533211	18:11:08 2303.533211	18:11:11 3279.837893
11/30/2011	18:11:15 2557.194865	18:11:18 2557.676094	18:11:20 2304.457212	18:11:23 2305.381351	18:11:26 3265.859682
11/30/2011	18:11:30 2557.194865	18:11:33 2557.194865	18:11:35 2303.533211	18:11:38 2303.995194	18:11:41 3261.027924
11/30/2011	18:11:45 2557.676094	18:11:48 2556.232517	18:11:50 2302.609349	18:11:53 2302.609349	18:11:56 3262.638119
11/30/2011	18:12:00 2554.308264	18:12:03 2554.789272	18:12:05 2301.223816	18:12:08 2300.300300	18:12:11 3243.341551
11/30/2011	18:12:15 2552.865461	18:12:18 2551.422990	18:12:20 2297.992119	18:12:23 2297.530586	18:12:26 3234.248788
11/30/2011	18:12:30 2549.500211	18:12:33 2549.500211	18:12:35 2295.684803	18:12:38 2295.684803	18:12:41 3237.991355
11/30/2011	18:12:45 2549.019608	18:12:48 2549.019608	18:12:50 2295.223444	18:12:53 2295.684803	18:12:56 3263.174937
11/30/2011	18:13:00 2550.942240	18:13:03 2549.980850	18:13:05 2297.069088	18:13:08 2297.530586	18:13:11 3252.982811
11/30/2011	18:13:15 2554.789272	18:13:18 2549.019608	18:13:20 2295.684803	18:13:23 2296.146197	18:13:26 3281.991002
11/30/2011	18:13:30 2550.942240	18:13:33 2550.942240	18:13:35 2297.530586	18:13:38 2297.069088	18:13:41 3292.227811
11/30/2011	18:13:45 2550.461527	18:13:48 2549.500211	18:13:50 2296.607625	18:13:53 2296.607625	18:13:56 3207.045262
11/30/2011	18:14:00 2549.980850	18:14:03 2549.980850	18:14:05 2296.146197	18:14:08 2296.607625	18:14:11 3074.774559
11/30/2011	18:14:15 2550.461527	18:14:18 2550.461527	18:14:20 2297.992119	18:14:23 2298.453686	18:14:26 3273.382752
11/30/2011	18:14:30 2556.232517	18:14:33 2554.308264	18:14:35 2300.762041	18:14:38 2302.147470	18:14:41 3229.440026
11/30/2011	18:14:45 2557.194865	18:14:48 2557.676094	18:14:50 2305.843473	18:14:53 2306.767821	18:14:56 3274.458173
11/30/2011	18:15:00 2562.972051	18:15:03 2562.490416	18:15:05 2310.929105	18:15:08 2310.929105	18:15:11 3291.688638
11/30/2011	18:15:15 2567.790435	18:15:18 2569.236671	18:15:20 2317.407811	18:15:23 2319.260123	18:15:26 3329.536672
11/30/2011	18:15:30 2579.369650	18:15:33 2580.818552	18:15:35 2330.385701	18:15:38 2331.777811	18:15:41 2272.659176
11/30/2011	18:15:45 2594.357752	18:15:48 2592.421797	18:15:50 2340.601815	18:15:53 2342.461110	18:15:56 3182.604498
11/30/2011	18:16:00 2600.169192	18:16:03 2603.076923	18:16:05 2349.438456	18:16:08 2353.628652	18:16:11 3246.553745
11/30/2011	18:16:15 2612.293599	18:16:18 2615.692616	18:16:20 2362.017580	18:16:23 2363.416843	18:16:26 3463.719287
11/30/2011	18:16:30 2623.468680	18:16:33 2627.360308	18:16:35 2373.687788	18:16:38 2373.220557	18:16:41 3455.978975
11/30/2011	18:16:45 2631.254337	18:16:48 2632.715216	18:16:50 2380.700495	18:16:53 2381.636123	18:16:56 3498.105124
11/30/2011	18:17:00 2641.487597	18:17:03 2642.950845	18:17:05 2391.000189	18:17:08 2391.000189	18:17:11 3442.179103
11/30/2011	18:17:15 2650.272169	18:17:18 2652.714495	18:17:20 2400.847714	18:17:23 2403.664168	18:17:26 40126.969558
11/30/2011	18:17:30 2672.287107	18:17:33 2676.208897	18:17:35 2426.241942	18:17:38 2430.484428	18:17:41 3890.631624
11/30/2011	18:17:45 2699.298531	18:17:48 2700.775194	18:17:50 2452.213566	18:17:53 2453.160035	18:17:56 3483.663896
11/30/2011	18:18:00 2724.448587	18:18:03 2725.436893	18:18:05 2475.443539	18:18:08 2482.096602	18:18:11 3508.677907
11/30/2011	18:18:15 2747.218548	18:18:18 2752.675618	18:18:20 2498.760346	18:18:23 2507.347609	18:18:26 3466.485842
11/30/2011	18:18:30 2766.090073	18:18:33 2773.554750	18:18:35 2523.121608	18:18:38 2528.388453	18:18:41 3558.424363
11/30/2011	18:18:45 2796.001250	18:18:48 2807.504397	18:18:50 2552.384601	18:18:53 2557.194865	18:18:56 3586.532880
11/30/2011	18:19:00 2810.508620	18:19:03 2819.529752	18:19:05 2549.980850	18:19:08 2555.751399	18:19:11 3503.667683
11/30/2011	18:19:15 2807.003830	18:19:18 2802.000313	18:19:20 2544.215604	18:19:23 2539.895144	18:19:26 3532.108197
11/30/2011	18:19:30 2778.536053	18:19:33 2778.037748	18:19:35 2515.946679	18:19:38 2514.990643	18:19:41 3505.893991
11/30/2011	18:19:45 2771.065555	18:19:48 2766.090073	18:19:50 2505.915579	18:19:53 2509.257492	18:19:56 3489.214556
11/30/2011	18:20:00 2769.572503	18:20:03 2771.563316	18:20:05 2511.645666	18:20:08 2507.347609	18:20:11 3527.080581
11/30/2011	18:20:15 2764.598185	18:20:18 2766.090073	18:20:20 2511.645666	18:20:23 2511.167958	18:20:26 3513.691851
11/30/2011	18:20:30 2773.056833	18:20:33 2767.582311	18:20:35 2510.690287	18:20:38 2502.098436	18:20:41 3537.698823
11/30/2011	18:20:45 2763.603786	18:20:48 2761.615454	18:20:50 2495.424039	18:20:53 2500.190738	18:20:56 3513.134562
